{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 280.3184971710493, 'time_values': 38.08820343017578}
{'fvalues': 275.0477889573813, 'time_values': 37.69855880737305}
{'fvalues': 284.4492622612539, 'time_values': 37.822914123535156}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.0001, 'reduced_dim': 10, 'mu': 1e-08, 'sample_size': 10, 'step_schedule': 'constant'}, 'iterations': 5000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 488.4751434143716, 'time_values': 15.967748641967773}
{'fvalues': 495.7283390215663, 'time_values': 15.71810531616211}
{'fvalues': 505.02103915799876, 'time_values': 15.350147247314453}
{'fvalues': 490.99613067515685, 'time_values': 15.685317993164062}
{'fvalues': 504.1857559976342, 'time_values': 15.54886245727539}
{'fvalues': 495.0900609157236, 'time_values': 15.421513557434082}
{'fvalues': 501.48398753550066, 'time_values': 15.627120971679688}
{'fvalues': 497.78469326874983, 'time_values': 15.620383262634277}
{'fvalues': 499.1875736453078, 'time_values': 15.444164276123047}
{'fvalues': 496.6343071256464, 'time_values': 15.787520408630371}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.0001, 'reduced_dim': 10, 'mu': 1e-08, 'sample_size': 100, 'step_schedule': 'constant'}, 'iterations': 500, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 952.8680224460963, 'time_values': 13.589269638061523}
{'fvalues': 949.7266856702603, 'time_values': 13.44325065612793}
{'fvalues': 947.5613629172699, 'time_values': 13.47042179107666}
{'fvalues': 949.8513839020987, 'time_values': 13.464945793151855}
{'fvalues': 951.6530264604131, 'time_values': 13.52601432800293}
{'fvalues': 949.8421120049585, 'time_values': 13.308394432067871}
{'fvalues': 949.5432195753876, 'time_values': 13.408601760864258}
{'fvalues': 949.5920715034351, 'time_values': 13.794243812561035}
{'fvalues': 949.1162637556253, 'time_values': 13.620987892150879}
{'fvalues': 950.7041590848934, 'time_values': 13.50352668762207}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.0001, 'reduced_dim': 100, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 242.10329650634753, 'time_values': 38.36083984375}
{'fvalues': 244.37319150961224, 'time_values': 38.11456298828125}
{'fvalues': 238.32983732731145, 'time_values': 37.81857681274414}
{'fvalues': 238.437572874125, 'time_values': 37.97515106201172}
{'fvalues': 245.1547227487646, 'time_values': 38.24554443359375}
{'fvalues': 241.85448742385185, 'time_values': 37.864986419677734}
{'fvalues': 244.0390020830931, 'time_values': 37.95061492919922}
{'fvalues': 242.45755288929647, 'time_values': 38.07162857055664}
{'fvalues': 238.0761113805467, 'time_values': 38.5313606262207}
{'fvalues': 240.96618565123688, 'time_values': 38.276123046875}
